"common/c_cpp/src/c/fileparser.c:174","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/subscriptionimpl.h:325 -> mama/c_cpp/src/c/subscription.c:1121","(style, inconclusive) Function 'mamaSubscription_hasWildcards' argument 1 names different: declaration 'subsc' definition 'subscription'."
"mama/c_cpp/src/c/subscriptionimpl.h:391 -> mama/c_cpp/src/c/subscription.c:2222","(style, inconclusive) Function 'mamaSubscription_processMsg' argument 2 names different: declaration 'message' definition 'msg'."
"mama/c_cpp/src/c/subscriptionimpl.h:475 -> mama/c_cpp/src/c/subscription.c:1107","(style, inconclusive) Function 'mamaSubscription_respondToRefreshMessage' argument 1 names different: declaration 'subscription' definition 'impl'."
"mama/c_cpp/src/c/symbolmapfile.c:202 -> mama/c_cpp/src/c/symbolmapfile.c:204","(style) Variable 'rval' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/symbolmapfile.c:56","(style) struct member 'parseData_::symbologyCnt' is never used."
"mama/c_cpp/src/c/symbolmapfile.c:57","(style) struct member 'parseData_::mapCnt' is never used."
"mama/c_cpp/src/c/symbolmapfile.c:58","(style) struct member 'parseData_::toSymbolCnt' is never used."
"mama/c_cpp/src/c/symbolmapfile.c:59","(style) struct member 'parseData_::fromSymbolCnt' is never used."
"mama/c_cpp/src/c/symbolmapfile.c:60","(style) struct member 'parseData_::fromSymbol' is never used."
"mama/c_cpp/src/c/symbolmapfile.c:61","(style) struct member 'parseData_::toSymbol' is never used."
"mama/c_cpp/src/c/symbolmapfile.c:62","(style) struct member 'parseData_::impl' is never used."
"mama/c_cpp/src/c/symbolmapfile.c:63","(style) struct member 'parseData_::error' is never used."
"mama/c_cpp/src/c/syncresponder.c:111 -> mama/c_cpp/src/c/syncresponder.c:117","(style) Variable 'rval' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/syncresponder.c:126","(style) Variable 'rval' is assigned a value that is never used."
"mama/c_cpp/src/c/throttle.c:156","(style) Obsolescent function 'bzero' called. It is recommended to use 'memset' instead."
"mama/c_cpp/src/c/throttle.h:114 -> mama/c_cpp/src/c/throttle.c:205","(style, inconclusive) Function 'wombatThrottle_dispatch' argument 3 names different: declaration 'action' definition 'actionCb'."
"mama/c_cpp/src/c/timezone.c:304 -> mama/c_cpp/src/c/timezone.c:315","(style) Variable 'tzSaved' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/timezone.c:398","(style) Suspicious condition (assignment + comparison); Clarify expression with parentheses."
"mama/c_cpp/src/c/timezone.c:418","(style) The scope of the variable 'timeZones' can be reduced."
"mama/c_cpp/src/c/transport.c:256 -> mama/c_cpp/src/c/transport.c:260","(style) Variable 'transport' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/transport.c:269","(error) Memory leak: transport"
"mama/c_cpp/src/c/transport.c:2781 -> mama/c_cpp/src/c/transport.c:2783","(style) Variable 'handle' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/transport.c:278","(error) Memory leak: transport"
"mama/c_cpp/src/c/transport.c:308","(style) The scope of the variable 'propValue' can be reduced."
"mama/c_cpp/src/c/transport.c:309","(style) The scope of the variable 'propString' can be reduced."
"mama/c_cpp/src/c/transport.c:310","(style) The scope of the variable 'propStringMw' can be reduced."
"mama/c_cpp/src/c/transport.c:311","(style) The scope of the variable 'retVal' can be reduced."
"mama/c_cpp/src/c/transport.c:623","(style) The scope of the variable 'i' can be reduced."
"mama/c_cpp/src/c/transport.c:634","(style) The scope of the variable 'propNameBuf' can be reduced."
"mama/c_cpp/src/c/transport.c:635","(style) The scope of the variable 'entBridgeName' can be reduced."
"mama/c_cpp/src/c/transport.c:762 -> mama/c_cpp/src/c/transport.c:765","(style) Variable 'vp' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/transportimpl.h:154 -> mama/c_cpp/src/c/transport.c:2147","(style, inconclusive) Function 'mamaTransportImpl_resetRefreshForListener' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:158 -> mama/c_cpp/src/c/transport.c:2006","(style, inconclusive) Function 'mamaTransportImpl_getTopicsAndTypesForSource' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:167 -> mama/c_cpp/src/c/transport.c:2296","(style, inconclusive) Function 'mamaTransportImpl_isPossiblyStale' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:171 -> mama/c_cpp/src/c/transport.c:2303","(style, inconclusive) Function 'mamaTransportImpl_unsetAllPossiblyStale' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:175 -> mama/c_cpp/src/c/transport.c:2336","(style, inconclusive) Function 'mamaTransportImpl_getAdvisoryCauseAndPlatformInfo' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:191 -> mama/c_cpp/src/c/transport.c:2370","(style, inconclusive) Function 'mamaTransportImpl_getTransportIndex' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:192 -> mama/c_cpp/src/c/transport.c:2371","(style, inconclusive) Function 'mamaTransportImpl_getTransportIndex' argument 2 names different: declaration 'tportIndex' definition 'transportIndex'."
"mama/c_cpp/src/c/transportimpl.h:196 -> mama/c_cpp/src/c/transport.c:2475","(style, inconclusive) Function 'mamaTransportImpl_nextTransportIndex' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:324 -> mama/c_cpp/src/c/transport.c:2829","(style, inconclusive) Function 'mamaTransportImpl_getEntitlementBridge' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:69 -> mama/c_cpp/src/c/transport.c:1512","(style, inconclusive) Function 'mamaTransport_getBridgeTransportByIndex' argument 1 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/transportimpl.h:70 -> mama/c_cpp/src/c/transport.c:1513","(style, inconclusive) Function 'mamaTransport_getBridgeTransportByIndex' argument 2 names different: declaration 'tportIndex' definition 'index'."
"mama/c_cpp/src/c/transportimpl.h:77 -> mama/c_cpp/src/c/transport.c:1713","(style, inconclusive) Function 'mamaTransport_throttleRemoveForOwner' argument 3 names different: declaration 'handle' definition 'owner'."
"mama/c_cpp/src/c/transportimpl.h:94 -> mama/c_cpp/src/c/transport.c:1528","(style, inconclusive) Function 'mamaTransport_throttleAction' argument 8 names different: declaration 'handle' definition 'action'."
"/usr/include/apr-1/apr-x86_64.h:488","(error) #error no decision has been made on APR_PATH_MAX for your platform"
"/usr/include/bits/endian.h:4","(error) #error Never use <bits/endian.h> directly; include <endian.h> instead."
